image,layer,mean,sd,roughness_Ra,roughness_Ra1
Resized_11_0293.tif,ilm - isos,49.98820,66.00828,56.15881,1.12344
Resized_11_0294.tif,ilm - isos,8.51459,4.04613,2.99683,0.35196
Resized_11_0295.tif,ilm - isos,8.70951,4.14785,3.06797,0.35226
Resized_11_0296.tif,ilm - isos,7.57426,2.74121,2.02979,0.26799
Resized_11_0297.tif,ilm - isos,7.90033,3.33640,2.42938,0.30750
Resized_11_0298.tif,ilm - isos,7.99000,3.95180,2.58056,0.32297
Resized_11_0299.tif,ilm - isos,8.21607,4.22508,2.85021,0.34691
Resized_11_0300.tif,ilm - isos,8.14557,3.48770,2.63482,0.32347
Resized_11_0301.tif,ilm - isos,8.49361,3.82424,2.98854,0.35186
Resized_11_0302.tif,ilm - isos,8.15098,3.86283,2.74719,0.33704
Resized_11_0303.tif,ilm - isos,8.33180,4.22747,2.90782,0.34900
Resized_11_0304.tif,ilm - isos,8.04885,3.27775,2.46493,0.30625
Resized_11_0305.tif,ilm - isos,8.19361,3.79043,2.69939,0.32945
Resized_11_0306.tif,ilm - isos,7.45705,2.98885,2.09377,0.28078
Resized_11_0307.tif,ilm - isos,82.35459,116.52433,102.71894,1.24728
Resized_11_0308.tif,ilm - isos,8.40459,4.26372,2.95872,0.35204
Resized_11_0309.tif,ilm - isos,8.29951,4.76766,2.98734,0.35994
Resized_11_0310.tif,ilm - isos,7.97639,3.53959,2.40150,0.30108
Resized_11_0313.tif,ilm - isos,8.20852,4.12330,2.72063,0.33144
Resized_11_0314.tif,ilm - isos,8.12459,3.48287,2.56419,0.31561
Resized_11_0315.tif,ilm - isos,8.39934,5.26477,3.16447,0.37675
Resized_11_0316.tif,ilm - isos,8.40754,5.67348,3.22299,0.38334
Resized_16_0000.tif,ilm - isos,10.45098,5.09600,3.99165,0.38194
Resized_16_0001.tif,ilm - isos,10.38541,4.78412,3.83901,0.36965
Resized_16_0002.tif,ilm - isos,9.84164,4.13272,3.34521,0.33990
Resized_16_0004.tif,ilm - isos,9.78443,4.62490,3.58857,0.36676
Resized_16_0005.tif,ilm - isos,10.49770,5.76112,4.48634,0.42736
Resized_16_0006.tif,ilm - isos,11.16836,6.06664,4.84534,0.43385
